district,date,raw_video,start_time,end_time,anomaly
01 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:46:28,20:47:29, 推婴儿车
02 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:48:14,20:48:56, 推婴儿车
03 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:50:39,20:51:10, 推轮椅
04 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:52:25,20:52:37, 推清理卫生车
05 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:53:19,20:53:23, 跑动
06 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:54:13,20:53:18, 跑动
07 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:54:39,20:55:02, 推婴儿车
08 厅中付费区51,429, 2021-04-29_20-42-26.mpg,20:56:12,20:59:05, 推轮椅
09 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:07:35,21:07:45, 推婴儿车
10 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:09:47,21:09:51, 跑动
11 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:12:07,21:12:12, 跑动
12 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:12:39,21:12:50, 推婴儿车
13 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:14:55,21:15:34, 推婴儿车
14 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:16:40,21:16:44, 跑动
15 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:17:27,21:17:40, 推婴儿车
16 厅中付费区51,429, 2021-04-29_21-00-49.mpg,21:17:45,21:17:47, 跑动
17 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:17:45,21:19:52, 推婴儿车
18 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:20:09,21:20:23, 推拖地机
19 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:20:42,21:20:50, 推婴儿车
20 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:21:30,21:21:44, 推婴儿车
21 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:22:19,21:22:39, 推婴儿车
22 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:23:13,21:23:18, 推婴儿车
23 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:23:25,21:23:30, 推婴儿车
24 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:23:46,21:23:50, 推婴儿车
25 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:24:00,21:24:06, 推婴儿车
26 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:25:20,21:26:53, 推轮椅
27 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:26:58,21:27:05, 推轮椅
28 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:27:43,21:27:51, 推婴儿车
29 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:27:57,21:28:07, 推婴儿车
30 厅中付费区51,429, 2021-04-29_21-19-12.mpg,21:28:21,21:28:26, 推婴儿车
