district,date,raw_video,start_time,end_time,anomaly
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:31:12,18:31:16, 逆行
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:35:05,18:31:26, 逆行
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:38:57,18:39:04, 逆行
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:39:23,18:39:28, 逆行
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:42:23,18:42:30, 逆行
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:42:26,18:42:43, 逆行
台西换乘楼梯31,429, 2021-04-29_18-31-39.mpg,18:42:30,18:42:45, 逆行
台西换乘楼梯31,429, 2021-04-29_18-49-42.mpg,18:57:08,18:57:19, 逆行
台西换乘楼梯31,429, 2021-04-29_18-49-42.mpg,18:58:03,18:58:12, 逆行
台西换乘楼梯31,429, 2021-04-29_19-07-48.mpg,19:11:09,19:11:21, 逆行
台西换乘楼梯31,429, 2021-04-29_19-07-48.mpg,19:11:20,19:11:34, 逆行
台西换乘楼梯31,429, 2021-04-29_19-07-48.mpg,19:11:20,19:11:35, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:43:36,19:43:40, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:44:32,19:44:46, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:47:24,19:47:45, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:47:37,19:47:57, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:48:02,19:48:06, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:48:04,19:48:16, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:48:06,19:48:17, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:48:30,19:48:36, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:49:46,19:50:06, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:50:33,19:50:51, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:51:01,19:51:22, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:51:02,19:51:25, 逆行
台西换乘楼梯31,429, 2021-04-29_19-44-04.mpg,19:51:01,19:51:23, 逆行
